CGCG_548-023|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/23/CGCG_2357.7+4641:S:UBVR:f2000.fits.gz']
CGCG_384-028|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/00/CGCG_0052.8+1150:S:UBVR:f2000.fits.gz']
NGC_0606|[]
NGC_2511|[]
NGC_2803|[]
WKK_1558|[]
UGC_00147|[]
2MASX_J03404191-5512492|[]
MCG_-02-15-013|[]
2MASX_J07051863+4212462|[]
IC_0634|[]
NGC_6686|[]
2MASX_J20480492-5314217|[]
NGC_7474|[]
NGC_1054|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/02/CGCG_0239.4+1800:S:UBVR:f2000.fits.gz']
ESO_100-_G_013|[]
ESO_044-_G_009|[]
IC_1267|[]
LCRS_B220950.1-383901|[]
CGCG_536-006|[]
MCG_-01-06-022|[]
IC_1806|[]
ESO_165-_G_008|[]
WKK_5919|[]
CGCG_257-016|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/19/CGCG_1949.2+4642:S:UBVR:f2000.fits.gz']
CGCG_425-009|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/20/CGCG_2046.9+1107:S:UBVR:f2000.fits.gz']
CGCG_460-045|[]
IC_2017|[]
UGC_05913|['http://ned.ipac.caltech.edu/spc1/2003/20032dF...C...0000C/855/2dFGRS_N432Z192:S:OPT:c2003.fits.gz']
NGC_6467|[]
IC_1694|[]
CGCG_463-032|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/02/CGCG_0252.5+1558:S:UBVR:f2000.fits.gz']
CGCG_143-014|[]
2MASX_J20040927+0708441|[]
IC_0355|[]
CGCG_234-098|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/07/CGCG_0708.2+5040:S:UBVR:f2000.fits.gz']
IC_0568|[]
UGC_06592|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/11/CGCG_1134.7+7302:S:UBVR:f2000.fits.gz']
NGC_5989|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/15/CGCG_1540.5+5955:S:UBVR:f2000.fits.gz']
IC_1144|[]
2MASX_J18570768-7828212|[]
ESO_235-_G_009|[]
NGC_7608|[]
UGC_02563|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/03/CGCG_0306.8+1819:S:UBVR:f2000.fits.gz']
UGC_03135|[]
UGC_03507|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/06/CGCG_0637.3+5347:S:UBVR:f2000.fits.gz']
